221	joh-bahr-ee-uh	Jobar (mythical animal)	Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson and Wilson	1999
190	lyow-shee-or-nis	Liaoxi bird	Hou and Chen	1999
499	loor-duh-sore-us	heavy lizard	Taquet & Russell	1999
938	nee-zhayr-sore-us	Niger lizard	Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson & Wilson	1999
988	sine-or-nith-oh-sore-us	Chinese bird lizard	Xu, Wang and Wu	1999
425	bam-bee-rap-tor	Bambi plunderer	Burnham, Derstler, Currie, Bakker, Zhou and Ostrom	2000
752	foo-koo-ee-rap-tor	Fukui plunderer	Azuma and Currie	2000
478	gras-i-li-serra-tops	gracile horned face	Sereno	2000
198	MIKE-row-rap-tor	tiny plunderer	Xu, Zhou and Wang	2000
360	noh-ming-ee-uh	Nomingiin	Barsbold, Osmólska, Watabe, Currie and Tsogtbaatar	2000
523	n-qu-web-ah-sore-us	Nqweba lizard	de Klerk, Forster, Sampson, Chinsamy and Ross	2000
967	see-dar-pel-tuh	Cedar [Mountain Formation] shield	Carpenter, Kirkland, Burge and Bird	2001
707	chit-i-puh-tih	lord of the funeral pyre	Clark, Norell and Barsbold	2001
713	ee-oh-ti-ran-us	dawn tyrant	Hutt, Naish, Martill, Barker and Newberry	2001
231	goh-bee-sore-us	Gobi lizard	Vickaryous, Russell, Currie and Zhao	2001
974	hes-per-oh-sore-us	western lizard	Carpenter, Miles and Cloward	2001
758	jeen-joh-sore-us	Jinzhou lizard	Wang and Xu	2001
885	kahn	ruler	Clark, Norell and Barsbold	2001
517	mah-shee-ah-kah-sore-us	vicious lizard	Sampson, Carrano & Forster	2001
304	noh-thron-i-kus	sloth-like claw	Kirkland and Wolfe	2001
995	pa-ral-i-tie-tuhn	tidal giant	Smith, Lamanna, Lacovara, Dodson, Smith, Poole, Giegengack and Attia	2001
389	aw-ka-sore-us	Auca lizard	Coria, Chiappe and Dingus	2002
997	lyow-serra-tops	Liaoning horned face	Xu, Makovicky, Wang, Norell and You	2002
332	sien-oh-vee-nay-tor	Chinese hunter	Xu, Norell, Wang, Makovicky and Wu	2002
437	ee-kwee-joo-bus	(unknown)	You, Luo, Shubin, Witmer, Tang and Tang	2003
719	foo-koo-I-sore-us	Fukui lizard	Kobayashi and Azuma	2003
779	lah-mah-serra-tops	Lama (Buddhist monk) horned face	Alifanov	2003
816	pant-ee-drak-oh	Pant-y-ffynnon dragon	Galton, Yates and Kermack 2007	2003
549	plat-ee-serra-tops	flat horned face	Alifanov	2003
829	roo-gops	wrinkle face	Sereno, Wilson and Conrad	2004
291	brak-i-trak-eh-loh-pan	short-necked Pan [shepherd god]	Rauhut, Remes, Fechner, Cladera and Puerta	2005
415	bwee-tree-rap-tor	Buitrera ('vulture roost') plunderer	Makovicky, Apesteguía & Agnolin	2005
899	dub-rhe-oo-oh-sore-us	(unknown)	Allain	2005
180	ha-grif-us	Ha (Egyptian god of the western desert) griffin	Zanno and Sampson	2005
760	ant-arc-toe-pel-ta	Antarctic shield	Salgado and Gasparini	2006
469	dray-ko-rex	Dragon king	Bakker, Sullivan, Porter, Larson and Saulsbury	2006
326	er-kee-tu	Erketu = Tengri (a Mongolian creator-god)	Ksepka and Norell	2006
323	yoo-roh-pah-sore-us	Europe lizard	Sander, Mateus, Laven and Knötschke	2006
671	gwan-long	crowned dragon	Xu, Clark, Forster, Norell, Erickson, Eberth, Jia and Zhao	2006
182	ju-rah-ve-nay-tor	Jura (Bavarian mountains) hunter	Göhlich & Chiappe	2006
429	lee-gah-boo-sore-us	[Dr Giancarlo] Ligabue lizard	Bonaparte, González Riga and Apesteguía	2006
297	mah-puh-sore-us	Earth (Mapuche language	Coria and Currie	2006
596	max-aka-li-sore-us	Maxakali (tribe of Brazil) lizard	Kellner et al.	2006
590	soh-nid-oh-sore-us	Sonid (area in which the type locality is) lizard	Xu, Zhang, Tan, Zhao and Tan	2006
460	yin-long	hidden dragon	Xu, Forster, Clark and Mo	2006
892	ywahn-moo-sore-us	Yuanmou (area where the type locality is) lizard	Lü, Li, Ji, Wang, Zhang and Dong	2006
585	or-ik-tow-drohm-ee-us	digging runner	Varricchio, Marin and Katsura	2007
693	sha-nag	named after the dancers in the Buddhist Tsam festival	Turner, Hwang and Norell	2007
918	sie-no-kall-ee-op-ter-iks	Chinese beautiful feather	Ji, Ji, Lü and Yuan	2007
638	urb-ah-ko-don	URBAC tooth	Averianov and Sues	2007
805	ar-don-ix	Earth claw	Yates, Bonnan, Neveling, Chinsamy and Blackbeard 2010	2009
219	an-at-oh-TIE-tan	giant duck		
692	Cen-TROH-sore-us	sharp pointed lizard		
385	KAZ-mo-sore-us	chasm lizard		
675	seel-OH-fie-sis	hollow form		
901	die-LOAF-oh-sore-us	two-ridged lizard		
701	you-OH-plo-kef-ah-luss	well-armoured head		
